Date,Grand_Prix,Winner,Team,Laps,RaceTime_sec,AVG_Lap_Time_sec
1990-05-13,San Marino,RiccardoPatrese,Williams Renault,61,5455,89.42622950819673
1990-03-25,Brazil,AlainProst,Ferrari,71,5841,82.26760563380282
1990-03-11,United States,AyrtonSenna,McLaren Honda,72,6752,93.77777777777777
1989-11-05,Australia,ThierryBoutsen,Williams Renault,70,7217,103.1
1989-10-22,Japan,AlessandroNannini,Benetton Ford,53,5706,107.66037735849056
1989-10-01,Spain,AyrtonSenna,McLaren Honda,72,6468,89.83333333333333
1989-09-24,Portugal,GerhardBerger,Ferrari,71,5808,81.80281690140845
1989-09-10,Italy,AlainProst,McLaren Honda,53,4767,89.94339622641509
1989-08-27,Belgium,AyrtonSenna,McLaren Honda,44,6054,137.5909090909091
1989-08-13,Hungary,NigelMansell,Ferrari,77,6578,85.42857142857143
1989-07-30,Germany,AyrtonSenna,McLaren Honda,45,4903,108.95555555555555
1989-07-16,Great Britain,AlainProst,McLaren Honda,64,4762,74.40625
1989-07-09,France,AlainProst,McLaren Honda,80,5909,73.8625
1989-06-18,Canada,ThierryBoutsen,Williams Renault,69,7284,105.56521739130434
1989-06-04,United States,AlainProst,McLaren Honda,75,7293,97.24
1989-05-28,Mexico,AyrtonSenna,McLaren Honda,69,5721,82.91304347826087
1989-05-07,Monaco,AyrtonSenna,McLaren Honda,77,6813,88.48051948051948
1989-04-23,San Marino,AyrtonSenna,McLaren Honda,58,5211,89.84482758620689
1989-03-26,Brazil,NigelMansell,Ferrari,61,5938,97.34426229508196
1988-11-13,Australia,AlainProst,McLaren Honda,82,6794,82.85365853658537
1988-10-30,Japan,AyrtonSenna,McLaren Honda,51,5606,109.92156862745098
1988-10-02,Spain,AlainProst,McLaren Honda,72,6523,90.59722222222223
1988-09-25,Portugal,AlainProst,McLaren Honda,70,5860,83.71428571428571
1988-09-11,Italy,GerhardBerger,Ferrari,51,4659,91.3529411764706
1988-08-28,Belgium,AyrtonSenna,McLaren Honda,43,5280,122.79069767441861
1988-08-07,Hungary,AyrtonSenna,McLaren Honda,76,7067,92.98684210526316
1988-07-24,Germany,AyrtonSenna,McLaren Honda,44,5574,126.68181818181819
1988-07-10,Great Britain,AyrtonSenna,McLaren Honda,65,5596,86.0923076923077
1988-07-03,France,AlainProst,McLaren Honda,80,5857,73.2125
1988-06-19,Detroit,AyrtonSenna,McLaren Honda,63,6896,109.46031746031746
1988-06-12,Canada,AyrtonSenna,McLaren Honda,69,5986,86.7536231884058
1988-05-29,Mexico,AlainProst,McLaren Honda,67,5415,80.82089552238806
1988-05-15,Monaco,AlainProst,McLaren Honda,78,7037,90.21794871794872
1988-05-01,San Marino,AyrtonSenna,McLaren Honda,60,5561,92.68333333333334
1988-04-03,Brazil,AlainProst,McLaren Honda,60,5766,96.1
1987-11-15,Australia,GerhardBerger,Ferrari,82,6776,82.63414634146342
1987-11-01,Japan,GerhardBerger,Ferrari,51,5578,109.37254901960785
1987-10-18,Mexico,NigelMansell,Williams Honda,63,5184,82.28571428571429
1987-09-27,Spain,NigelMansell,Williams Honda,72,6552,91.0
1987-09-20,Portugal,AlainProst,McLaren TAG,70,5823,83.18571428571428
1987-09-06,Italy,NelsonPiquet,Williams Honda,50,4487,89.74
1987-08-16,Austria,NigelMansell,Williams Honda,52,4724,90.84615384615384
1987-08-09,Hungary,NelsonPiquet,Williams Honda,76,7166,94.28947368421052
1987-07-26,Germany,NelsonPiquet,Williams Honda,44,4885,111.02272727272727
1987-07-12,Great Britain,NigelMansell,Williams Honda,65,4751,73.0923076923077
1987-07-05,France,NigelMansell,Williams Honda,80,5823,72.7875
1987-06-21,Detroit,AyrtonSenna,Lotus Honda,63,6616,105.01587301587301
1987-05-31,Monaco,AyrtonSenna,Lotus Honda,78,7074,90.6923076923077
1987-05-17,Belgium,AlainProst,McLaren TAG,43,5223,121.46511627906976
1987-05-03,San Marino,NigelMansell,Williams Honda,59,5484,92.94915254237289
1987-04-12,Brazil,AlainProst,McLaren TAG,61,5985,98.11475409836065
1986-10-26,Australia,AlainProst,McLaren TAG,82,6860,83.65853658536585
1986-10-12,Mexico,GerhardBerger,Benetton BMW,68,5598,82.32352941176471
1986-09-21,Portugal,NigelMansell,Williams Honda,70,5841,83.44285714285714
1986-09-07,Italy,NelsonPiquet,Williams Honda,51,4662,91.41176470588235
1986-08-17,Austria,AlainProst,McLaren TAG,52,4882,93.88461538461539
1986-08-10,Hungary,NelsonPiquet,Williams Honda,76,7234,95.1842105263158
1986-07-27,Germany,NelsonPiquet,Williams Honda,44,4928,112.0
1986-07-13,Great Britain,NigelMansell,Williams Honda,75,5438,72.50666666666666
1986-07-06,France,NigelMansell,Williams Honda,80,5839,72.9875
1986-06-22,Detroit,AyrtonSenna,Lotus Renault,63,6672,105.9047619047619
1986-06-15,Canada,NigelMansell,Williams Honda,69,6146,89.07246376811594
1986-05-25,Belgium,NigelMansell,Williams Honda,43,5277,122.72093023255815
1986-05-11,Monaco,AlainProst,McLaren TAG,78,6941,88.98717948717949
1986-04-27,San Marino,AlainProst,McLaren TAG,60,5548,92.46666666666667
1986-04-13,Spain,AyrtonSenna,Lotus Renault,72,6527,90.65277777777777
1986-03-23,Brazil,NelsonPiquet,Williams Honda,61,5972,97.90163934426229
1985-11-03,Australia,KekeRosberg,Williams Honda,82,7240,88.29268292682927
1985-10-19,South Africa,NigelMansell,Williams Honda,75,5302,70.69333333333333
1985-10-06,Europe,NigelMansell,Williams Honda,75,5578,74.37333333333333
1985-09-15,Belgium,AyrtonSenna,Lotus Renault,43,5659,131.6046511627907
1985-09-08,Italy,AlainProst,McLaren TAG,51,4679,91.74509803921569
1985-08-25,Netherlands,NikiLauda,McLaren TAG,70,5549,79.27142857142857
1985-08-18,Austria,AlainProst,McLaren TAG,52,4812,92.53846153846153
1985-08-04,Germany,MicheleAlboreto,Ferrari,67,5731,85.53731343283582
1985-07-21,Great Britain,AlainProst,McLaren TAG,65,4690,72.15384615384616
1985-07-07,France,NelsonPiquet,Brabham BMW,53,5506,103.88679245283019
1985-06-23,Detroit,KekeRosberg,Williams Honda,63,6939,110.14285714285714
1985-06-16,Canada,MicheleAlboreto,Ferrari,70,6361,90.87142857142857
1985-05-19,Monaco,AlainProst,McLaren TAG,78,6718,86.12820512820512
1985-05-05,San Marino,Eliode Angelis,Lotus Renault,60,5675,94.58333333333333
1985-04-21,Portugal,AyrtonSenna,Lotus Renault,67,7228,107.88059701492537
1985-04-07,Brazil,AlainProst,McLaren TAG,61,6086,99.77049180327869
1984-10-21,Portugal,AlainProst,McLaren TAG,70,6071,86.72857142857143
1984-10-07,Europe,AlainProst,McLaren TAG,67,5713,85.26865671641791
1984-09-09,Italy,NikiLauda,McLaren TAG,51,4829,94.68627450980392
1984-08-26,Netherlands,AlainProst,McLaren TAG,71,5841,82.26760563380282
1984-08-19,Austria,NikiLauda,McLaren TAG,51,4872,95.52941176470588
1984-08-05,Germany,AlainProst,McLaren TAG,44,5083,115.52272727272727
1984-07-22,Great Britain,NikiLauda,McLaren TAG,71,5368,75.6056338028169
1984-07-08,Dallas,KekeRosberg,Williams Honda,67,7282,108.68656716417911
1984-06-24,Detroit,NelsonPiquet,Brabham BMW,63,6941,110.17460317460318
1984-06-17,Canada,NelsonPiquet,Brabham BMW,70,6383,91.18571428571428
1984-06-03,Monaco,AlainProst,McLaren TAG,31,3667,118.29032258064517
1984-05-20,France,NikiLauda,McLaren TAG,79,5471,69.25316455696202
1984-05-06,San Marino,AlainProst,McLaren TAG,60,5813,96.88333333333334
